PDS No.,Supplier,Plant,Short Name,Name,IssueDate,DeliveryDate,Trip,Str,Flag,Cycle,No.,Part No.,Part Name,Q'Ty/Pack,Q'Ty Order Total,Price,%,P/O No.,Type Order,Remark1,Remark2,Remark3,Sebango,Location,Attn,KanbanID,Store No,DeliveryTime,Kanban Remark,Dockcode,Collect Date,Collect Time,Delivery By,Approval,Address,Type Version,PDS Backup,DeptCode,DAcctNo,Work Code,Sparetext1,Sparetext2,SpareNum1,SpareNum2
1A24022701023,'2604,A,YNP,YARNAPUND CO.*LTD,23/02/2024,27/02/2024,1,,,'010202,1,'411150K01000,RING DIFFERENTIAL OIL STORAGE                     ,200,600,0,7,P-02/2024                ,N,,,,,3,,'0001,3A,(12:50),                                                  ,U4   ,20240227  ,(09:40),B&K            ,,BD20 & S20          ,T,P,0,0,,,,0,0
1A24022701023,'2604,A,YNP,YARNAPUND CO.*LTD,23/02/2024,27/02/2024,1,,,'010202,2,'411830K01000,DEFLECTOR DIFF BREATHER PLUG                      ,100,500,0,7,P-02/2024                ,N,,,,,3,,'0002,3A,(12:50),                                                  ,U4   ,20240227  ,(09:40),B&K            ,,S20                 ,T,P,0,0,,,,0,0
1A24022701023,'2604,A,YNP,YARNAPUND CO.*LTD,23/02/2024,27/02/2024,1,,,'010202,5,'42109KK02000,COVER SUB-ASSY*RR AXLE HOUSING                    ,10,40,0,7,P-02/2024                ,N,,,,,3,,'0047,3A,(12:50),                                                  ,U4   ,20240227  ,(09:40),B&K            ,,HOUSING             ,T,P,0,0,,,,0,0
1A24022701023,'2604,A,YNP,YARNAPUND CO.*LTD,23/02/2024,27/02/2024,1,,,'010202,6,'42109KK03000,COVER SUB-ASSY*RR AXLE HOUSING                    ,5,130,0,7,P-02/2024                ,N,,,,,3,,'0048,3A,(12:50),                                                  ,U4   ,20240227  ,(09:40),B&K            ,,HOUSING             ,T,P,0,0,,,,0,0
1A24022701023,'2604,A,YNP,YARNAPUND CO.*LTD,23/02/2024,27/02/2024,1,,,'010202,7,'42109KK04000,COVER SUB-ASSY*RR AXLE HOUSING                    ,5,500,0,7,P-02/2024                ,N,,,,,3,,'0049,3A,(12:50),                                                  ,U4   ,20240227  ,(09:40),B&K            ,,HOUSING             ,T,P,0,0,,,,0,0
1A24022701023,'2604,A,YNP,YARNAPUND CO.*LTD,23/02/2024,27/02/2024,1,,,'010202,8,'42126KK03000,ATTACHMENT*BRAKE 3 WAY                            ,200,200,0,7,P-02/2024                ,N,,,,,3,,'0051,3A,(12:50),                                                  ,U4   ,20240227  ,(09:40),B&K            ,,HOUSING             ,T,P,0,0,,,,0,0
1A24022701023,'2604,A,YNP,YARNAPUND CO.*LTD,23/02/2024,27/02/2024,1,,,'010202,4,'421270K01000,ATTACHMENT BRAKE TUBE CLAMPNO1                    ,500,500,0,7,P-02/2024                ,N,,,,,3,,'0024,3A,(12:50),                                                  ,U4   ,20240227  ,(09:40),B&K            ,,HOUSING             ,T,P,0,0,,,,0,0
1A24022701023,'2604,A,YNP,YARNAPUND CO.*LTD,23/02/2024,27/02/2024,1,,,'010202,3,'421390K02000,DEFLECTOR* RR AXLE HOUSING OIL                    ,14,56,0,7,P-02/2024                ,N,,,,,3,,'0009,3A,(12:50),                                                  ,U4   ,20240227  ,(09:40),B&K            ,,AXLE                ,T,P,0,0,,,,0,0
1A24022701023,'2604,A,YNP,YARNAPUND CO.*LTD,23/02/2024,27/02/2024,1,,,'010202,9,'42139KK01000,DEFLECTOR*RR AXLE HOUSING OIL                     ,12,1080,0,7,P-02/2024                ,N,,,,,3,,'0054,3A,(12:50),                                                  ,U4   ,20240227  ,(09:40),B&K            ,,AXLE                ,T,P,0,0,,,,0,0
1A24022701023,'2604,A,YNP,YARNAPUND CO.*LTD,23/02/2024,27/02/2024,1,,,'010202,10,'48507KK01000,BRACKET SUB-ASSY*RR SHOCK ABSORBER*LWR            ,10,40,0,7,P-02/2024                ,N,,,,,3,,'0055,3A,(12:50),                                                  ,U4   ,20240227  ,(09:40),B&K            ,,HOUSING             ,T,P,0,0,,,,0,0
1A24022701023,'2604,A,YNP,YARNAPUND CO.*LTD,23/02/2024,27/02/2024,1,,,'010202,11,'48507KK03000,BRACKET SUB-ASSY*RR SHOCK ABSORBER*LWR RH         ,12,360,0,7,P-02/2024                ,N,,,,,3,,'0056,3A,(12:50),                                                  ,U4   ,20240227  ,(09:40),B&K            ,,HOUSING             ,T,P,0,0,,,,0,0
1A24022701023,'2604,A,YNP,YARNAPUND CO.*LTD,23/02/2024,27/02/2024,1,,,'010202,12,'48508KK03000,BRACKET SUB-ASSY*RR SHOCK ABSORBER*LWR LH         ,12,360,0,7,P-02/2024                ,N,,,,,3,,'0057,3A,(12:50),                                                  ,U4   ,20240227  ,(09:40),B&K            ,,HOUSING             ,T,P,0,0,,,,0,0
