Customer Order	Part No	Store Code	Delivery Date	Qty	
PR25-PA3-02/1	413200K02000	3B	20250220	36	
413210K03000	3B	20250220	24	
90363T001400	3B	20250220	80	
90521T000200	3B	20250220	200	
90520T002800	3B	20250220	100	
90520T002700	3B	20250220	100	
413110K04000	3B	20250220	27	
413110K05000	3B	20250220	14	
413110K06000	3B	20250220	17	
413110K07000	3B	20250220	42	
413420K04000	3B	20250220	103	
413510K01000	3B	20250220	10	
413610K01000	3B	20250220	360	
413610K02000	3B	20250220	360	
413610K05000	3B	20250220	10	
90364T000900	3B	20250220	9	
90366T003300	3B	20250220	156	
411010K06000	3B	20250220	157	
90366T001400	3B	20250220	145	
90366T001700	3B	20250220	151	
411150K01000	3B	20250220	109	
90366T001800	3B	20250220	210	
90366T001500	3B	20250220	149	
90311T006400	3B	20250220	260	
412142601100	3B	20250220	144	
412040K12000	3B	20250220	172	
90105T031000	3B	20250220	2069	
90366T003200	3B	20250220	338	
90341T000200	3B	20250220	110	
411830K01000	3B	20250220	170	
90107T000100	3B	20250220	450	
90107T000200	3B	20250220	40	
90341T000300	3B	20250220	10	
90311T010700	3B	20250220	148	
90311T010800	3B	20250220	132	
